id,title,company_name,city,city_geocode,department,skill
0507632,"Cloud SecOps Engineer F/H - Système, réseaux, données (H/F)",Safran Aircraft Engines,Corbeil-Essonnes,"Corbeil-Essonnes, 91, France",91,aws
0512156,Data Quality Manager - Finance (f/m/d) (H/F),,Paris,"Paris, 75, France",75,aws
0533357,Data Engineer @IoT - H/F,Externatic,Roche-Sur-Yon,"Roche-Sur-Yon, 85, France",85,aws
0543905,Développeur Sénior (Java / React / Serverless AWS) - Aérospatial - Toulouse (H/F),,Toulouse,"Toulouse, 31, France",31,aws
0544018,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,aws
0559692,Data Quality Manager - Finance (f/m/d) (H/F),,Lille,"Lille, 59, France",59,aws
0572221,Senior Fullstack Developer ( Django / React ) F/H (H/F),FAB Group,Marseille,"Marseille, 13, France",13,aws
0572241,Senior Fullstack Developer ( Django / React ) F/H (H/F),FAB Group,Marseille,"Marseille, 13, France",13,aws
0572478,Alternant Data Engineer F/H (H/F),Safran,Gonfreville-L'Orcher,"Gonfreville-L'Orcher, 76, France",76,aws
0607569,Développeur Sénior (Java / React / Serverless AWS) - Aérospatial - Toulouse (H/F),,Toulouse,"Toulouse, 31, France",31,aws
0607653,Consultant Analytics & IA Transverse DCoE - France (H/F),,Nanterre,"Nanterre, 92, France",92,aws
0607763,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,aws
0610986,Développeur Sénior (Java / React / Serverless AWS) - Aérospatial - Toulouse (H/F),,Toulouse,"Toulouse, 31, France",31,aws
0611116,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,aws
0617725,Alternance Data analyst - Clichy (H/F),,Clichy,"Clichy, 92, France",92,aws
0629083,Développeur Sénior (Java / React / Serverless AWS) - Aérospatial - Toulouse (H/F),,Toulouse,"Toulouse, 31, France",31,aws
0629276,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,aws
0629311,Expert en Stratégie DATA - Directeur - Entité de spécialité DATA (H/F),,Nanterre,"Nanterre, 92, France",92,aws
0657562,Développeur / Développeuse web (H/F),,Mulhouse,"Mulhouse, 68, France",68,aws
0659267,Développeur (H/F),,Marseille,"Marseille, 13, France",13,aws
0697016,Alternance Ingénieur(e) Développement NodeJS - BL Région - Lyon (H/F),,Lyon 1Er Arrondissement,"Lyon 1Er Arrondissement, 69, France",69,aws
0721701,Data Engineer Snowflake F/H h/f,,Montpellier,"Montpellier, 34, France",34,aws
0721711,Data Engineer Snowflake F/H h/f,,Tours,"Tours, 37, France",37,aws
0721724,Consultant(e) Dataiku F/H h/f,,Toulouse,"Toulouse, 31, France",31,aws
0721726,Consultant(e) Dataiku F/H h/f,,Montpellier,"Montpellier, 34, France",34,aws
0721727,Consultant(e) Dataiku F/H h/f,,Tours,"Tours, 37, France",37,aws
